Town Code,Town Name,Registered,Envelopes,Valid votes,ObÄŤanskĂˇ demokratickĂˇ strana,Ĺ�Ăˇd nĂˇroda - VlasteneckĂˇ unie,CESTA ODPOVÄšDNĂ‰ SPOLEÄŚNOSTI,ÄŚeskĂˇ str.sociĂˇlnÄ› demokrat.,RadostnĂ© ÄŚesko,STAROSTOVĂ‰ A NEZĂ�VISLĂŤ,KomunistickĂˇ str.ÄŚech a Moravy,Strana zelenĂ˝ch,"ROZUMNĂŤ-stop migraci,diktĂˇt.EU",Strana svobodnĂ˝ch obÄŤanĹŻ,Blok proti islam.-Obran.domova,ObÄŤanskĂˇ demokratickĂˇ aliance,ÄŚeskĂˇ pirĂˇtskĂˇ strana,Referendum o EvropskĂ© unii,TOP 09,ANO 2011,DobrĂˇ volba 2016,SPR-Republ.str.ÄŚsl. M.SlĂˇdka,KĹ™esĹĄ.demokr.unie-ÄŚs.str.lid.,ÄŚeskĂˇ strana nĂˇrodnÄ› sociĂˇlnĂ­,REALISTĂ‰,SPORTOVCI,DÄ›lnic.str.sociĂˇlnĂ­ spravedl.,Svob.a pĹ™.dem.-T.Okamura (SPD),Strana PrĂˇv ObÄŤanĹŻ
552089,TovĂ©Ĺ™,0,311,182,13,0,2,5,0,19,13,3,2,2,0,0,22,0,6,50,0,0,6,0,0,0,1,36,0
505293,Troubelice,0,941,595,53,0,0,28,1,42,53,2,0,10,1,0,81,0,9,196,0,0,46,0,4,1,1,61,4
505366,TrĹˇice,0,941,595,53,0,0,28,1,42,53,2,0,10,1,0,81,0,9,196,0,0,46,0,4,1,1,61,4
505501,Ăšjezd,0,1271,696,41,6,0,50,2,18,85,7,2,12,3,1,49,0,20,239,0,1,71,0,1,3,3,75,1
505587,UniÄŤov,0,216,131,1,0,0,12,0,8,14,1,0,2,1,0,8,0,2,27,0,0,47,0,0,0,0,7,0
552364,ĂšstĂ­n,0,216,131,1,0,0,12,0,8,14,1,0,2,1,0,8,0,2,27,0,0,47,0,0,0,0,7,0
505609,VelkĂˇ BystĹ™ice,0,537,258,4,2,0,16,1,5,42,1,2,4,2,0,11,0,3,90,0,0,17,0,1,1,0,51,1
505650,VelkĂ˝ TĂ˝nec,0,628,313,32,0,0,18,0,11,42,0,2,1,1,0,26,0,4,98,0,0,34,0,2,6,2,32,0
505668,VelkĂ˝ Ăšjezd,0,557,327,30,1,0,15,1,13,38,3,3,2,0,0,33,0,2,114,0,1,12,0,0,0,1,57,1
552119,VÄ›rovany,0,557,327,30,1,0,15,1,13,38,3,3,2,0,0,33,0,2,114,0,1,12,0,0,0,1,57,1
568961,VilĂ©mov,0,2448,1208,76,1,0,80,1,21,204,7,8,6,3,3,77,0,16,475,3,1,32,0,4,1,1,179,3
552399,Ĺ˝elechovice,0,557,345,24,1,1,28,0,11,30,3,3,8,2,0,27,0,16,120,0,0,21,0,1,1,0,41,4
505862,Ĺ˝erotĂ­n,0,557,345,24,1,1,28,0,11,30,3,3,8,2,0,27,0,16,120,0,0,21,0,1,1,0,41,4
-,-,0,41,22,0,0,0,3,1,0,1,2,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,4,0
-,-,0,41,22,0,0,0,3,1,0,1,2,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,4,0
